Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:53.232753 False [    1425.642611] 0003 0036 00000313
2022-04-06 14:33:53.240678 False [    1425.651000] 0003 0036 00000312
2022-04-06 14:33:53.249845 False [    1425.659212] 0003 0036 00000310
2022-04-06 14:33:53.257159 False [    1425.667660] 0003 0036 0000030f
2022-04-06 14:33:53.275524 False [    1425.684328] 0003 0036 0000030e
2022-04-06 14:33:53.292591 False [    1425.701143] 0003 0036 0000030d
2022-04-06 14:33:53.298990 False [    1425.709199] 0003 0036 0000030c
2022-04-06 14:33:53.315556 False [    1425.725893] 0003 0036 0000030b
2022-04-06 14:33:53.332762 False [    1425.742552] 0003 0036 0000030a
2022-04-06 14:33:53.759346 False [    1426.167693] 0003 0035 00000382
2022-04-06 14:33:53.774353 False [    1426.184384] 0003 0035 00000383
2022-04-06 14:33:53.782830 False [    1426.192604] 0003 0035 00000384
2022-04-06 14:33:53.798886 False [    1426.209206] 0003 0035 00000386
2022-04-06 14:33:53.798886 False [    1426.209206] 0003 0036 0000030b
2022-04-06 14:33:53.807064 False [    1426.217651] 0003 0035 00000387
2022-04-06 14:33:53.824853 False [    1426.234313] 0003 0035 00000388
2022-04-06 14:33:53.835626 False [    1426.242548] 0003 0035 0000038a
2022-04-06 14:33:53.835626 False [    1426.242548] 0003 0036 0000030c
2022-04-06 14:33:53.839947 False [    1426.251012] 0003 0035 0000038b
2022-04-06 14:33:53.849789 False [    1426.259385] 0003 0035 0000038c
2022-04-06 14:33:53.849789 False [    1426.259385] 0003 0036 0000030d
2022-04-06 14:33:53.857129 False [    1426.267665] 0003 0035 0000038d
2022-04-06 14:33:53.857129 False [    1426.267665] 0003 0036 0000030e
2022-04-06 14:33:53.867835 False [    1426.275897] 0003 0035 0000038e
2022-04-06 14:33:53.874843 False [    1426.284358] 0003 0036 0000030f
2022-04-06 14:33:53.915970 False [    1426.325886] 0003 0035 0000038c
2022-04-06 14:33:53.924757 False [    1426.334351] 0003 0035 00000388
2022-04-06 14:33:53.933816 False [    1426.342608] 0003 0035 00000384
2022-04-06 14:33:53.942404 False [    1426.351008] 0003 0035 0000037f
2022-04-06 14:33:53.949814 False [    1426.359217] 0003 0035 00000379
2022-04-06 14:33:53.949814 False [    1426.359217] 0003 0036 0000030e
2022-04-06 14:33:53.958233 False [    1426.367701] 0003 0035 00000374
2022-04-06 14:33:53.958233 False [    1426.367701] 0003 0036 0000030d
2022-04-06 14:33:53.966921 False [    1426.375874] 0003 0035 0000036e
2022-04-06 14:33:53.966921 False [    1426.375874] 0003 0036 0000030c
2022-04-06 14:33:53.976149 False [    1426.384369] 0003 0035 00000369
2022-04-06 14:33:53.976149 False [    1426.384369] 0003 0036 0000030b
2022-04-06 14:33:53.982684 False [    1426.392609] 0003 0035 00000364
2022-04-06 14:33:53.991362 False [    1426.401829] 0003 0035 00000360
2022-04-06 14:33:53.991362 False [    1426.401829] 0003 0036 0000030a
2022-04-06 14:33:53.998942 False [    1426.409290] 0003 0035 0000035c
2022-04-06 14:33:54.007848 False [    1426.417664] 0003 0035 0000035a
2022-04-06 14:33:54.014953 False [    1426.425907] 0003 0035 00000358
2022-04-06 14:33:54.022627 False [    1426.434381] 0003 0035 00000356
2022-04-06 14:33:54.032732 False [    1426.442583] 0003 0035 00000355
2022-04-06 14:33:54.040507 False [    1426.451036] 0003 0035 00000354
2022-04-06 14:33:54.058751 False [    1426.467675] 0003 0035 00000355
2022-04-06 14:33:54.065950 False [    1426.475880] 0003 0035 00000356
2022-04-06 14:33:54.072934 False [    1426.484332] 0003 0035 00000359
2022-04-06 14:33:54.072934 False [    1426.484332] 0003 0036 0000030b
2022-04-06 14:33:54.083833 False [    1426.492578] 0003 0035 0000035c
2022-04-06 14:33:54.083833 False [    1426.492578] 0003 0036 0000030d
2022-04-06 14:33:54.089257 False [    1426.500989] 0003 0035 00000360
2022-04-06 14:33:54.089257 False [    1426.500989] 0003 0036 0000030f
2022-04-06 14:33:54.099092 False [    1426.509250] 0003 0035 00000363
2022-04-06 14:33:54.099092 False [    1426.509250] 0003 0036 00000310
2022-04-06 14:33:54.108129 False [    1426.517684] 0003 0035 00000367
2022-04-06 14:33:54.108129 False [    1426.517684] 0003 0036 00000312
2022-04-06 14:33:54.117686 False [    1426.525978] 0003 0035 0000036b
2022-04-06 14:33:54.117686 False [    1426.525978] 0003 0036 00000314
2022-04-06 14:33:54.123828 False [    1426.534334] 0003 0035 0000036f
2022-04-06 14:33:54.123828 False [    1426.534334] 0003 0036 00000315
2022-04-06 14:33:54.132932 False [    1426.542606] 0003 0035 00000374
2022-04-06 14:33:54.140676 False [    1426.551070] 0003 0035 00000378
2022-04-06 14:33:54.140676 False [    1426.551070] 0003 0036 00000317
2022-04-06 14:33:54.150040 False [    1426.559244] 0003 0035 0000037c
2022-04-06 14:33:54.150040 False [    1426.559244] 0003 0036 00000318
2022-04-06 14:33:54.157212 False [    1426.567718] 0003 0035 00000380
2022-04-06 14:33:54.157212 False [    1426.567718] 0003 0036 00000319
2022-04-06 14:33:54.166053 False [    1426.575887] 0003 0035 00000383
