Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:03.238680 False [  158246.397909] 0003 0035 00000547
2022-04-02 17:32:03.238680 False [  158246.397909] 0003 0036 00000404
2022-04-02 17:32:03.245979 False [  158246.406394] 0003 0035 00000548
2022-04-02 17:32:03.245979 False [  158246.406394] 0003 0036 00000407
2022-04-02 17:32:03.255034 False [  158246.414539] 0003 0035 00000549
2022-04-02 17:32:03.255034 False [  158246.414539] 0003 0036 00000409
2022-04-02 17:32:03.263283 False [  158246.422936] 0003 0035 0000054a
2022-04-02 17:32:03.263283 False [  158246.422936] 0003 0036 0000040b
2022-04-02 17:32:03.271179 False [  158246.431295] 0003 0035 0000054b
2022-04-02 17:32:03.271179 False [  158246.431295] 0003 0036 0000040e
2022-04-02 17:32:03.279106 False [  158246.439638] 0003 0035 0000054c
2022-04-02 17:32:03.279106 False [  158246.439638] 0003 0036 00000410
2022-04-02 17:32:03.287541 False [  158246.447779] 0003 0035 0000054d
2022-04-02 17:32:03.287541 False [  158246.447779] 0003 0036 00000412
2022-04-02 17:32:03.298421 False [  158246.456455] 0003 0036 00000414
2022-04-02 17:32:03.304606 False [  158246.464528] 0003 0035 0000054e
2022-04-02 17:32:03.304606 False [  158246.464528] 0003 0036 00000416
2022-04-02 17:32:03.313531 False [  158246.472842] 0003 0035 0000054f
2022-04-02 17:32:03.313531 False [  158246.472842] 0003 0036 00000418
2022-04-02 17:32:03.320422 False [  158246.481069] 0003 0035 00000550
2022-04-02 17:32:03.320422 False [  158246.481069] 0003 0036 00000419
2022-04-02 17:32:03.329646 False [  158246.489523] 0003 0036 0000041b
2022-04-02 17:32:03.338473 False [  158246.497667] 0003 0036 0000041d
2022-04-02 17:32:03.344979 False [  158246.506054] 0003 0035 00000551
2022-04-02 17:32:03.344979 False [  158246.506054] 0003 0036 0000041f
2022-04-02 17:32:03.362906 False [  158246.522650] 0003 0035 00000552
2022-04-02 17:32:03.362906 False [  158246.522650] 0003 0036 00000420
2022-04-02 17:32:03.373761 False [  158246.531178] 0003 0036 00000422
2022-04-02 17:32:03.380231 False [  158246.539387] 0003 0035 00000553
2022-04-02 17:32:03.387544 False [  158246.547608] 0003 0036 00000423
2022-04-02 17:32:03.397907 False [  158246.555936] 0003 0036 00000424
2022-04-02 17:32:03.420233 False [  158246.580832] 0003 0036 00000425
2022-04-02 17:32:03.441398 False [  158246.597364] 0003 0036 00000426
2022-04-02 17:32:03.455548 False [  158246.614002] 0003 0036 00000427
2022-04-02 17:32:03.471883 False [  158246.630765] 0003 0036 00000428
2022-04-02 17:32:03.492421 False [  158246.647234] 0003 0036 00000429
2022-04-02 17:32:03.513554 False [  158246.672344] 0003 0036 0000042a
2022-04-02 17:32:03.531262 False [  158246.689070] 0003 0035 00000552
