Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:55:00.559775 False [  156023.753689] 0003 0036 000003b4
2022-04-02 16:55:00.577543 False [  156023.770365] 0003 0035 0000051d
2022-04-02 16:55:00.577543 False [  156023.770365] 0003 0036 000003b9
2022-04-02 16:55:00.585437 False [  156023.778769] 0003 0035 0000051e
2022-04-02 16:55:00.585437 False [  156023.778769] 0003 0036 000003bc
2022-04-02 16:55:00.594285 False [  156023.786998] 0003 0035 0000051d
2022-04-02 16:55:00.594285 False [  156023.786998] 0003 0036 000003ba
2022-04-02 16:55:00.611945 False [  156023.803465] 0003 0036 000003b9
2022-04-02 16:55:00.617284 False [  156023.812104] 0003 0035 0000051c
2022-04-02 16:55:00.617284 False [  156023.812104] 0003 0036 000003b8
2022-04-02 16:55:00.625724 False [  156023.820473] 0003 0035 0000051d
2022-04-02 16:55:00.634120 False [  156023.828615] 0003 0036 000003ba
2022-04-02 16:55:00.644534 False [  156023.837847] 0003 0035 0000051e
2022-04-02 16:55:00.993668 False [  156024.186278] 0003 0036 000003af
2022-04-02 16:55:01.162808 False [  156024.352540] 0003 0035 0000051f
2022-04-02 16:55:01.210600 False [  156024.402417] 0003 0036 000003b0
2022-04-02 16:55:01.244140 False [  156024.435599] 0003 0036 000003b1
2022-04-02 16:55:01.283992 False [  156024.477211] 0003 0036 000003b2
2022-04-02 16:55:01.309245 False [  156024.501996] 0003 0036 000003b3
2022-04-02 16:55:01.327153 False [  156024.518699] 0003 0036 000003b4
2022-04-02 16:55:01.341256 False [  156024.535267] 0003 0036 000003b5
2022-04-02 16:55:01.349275 False [  156024.543694] 0003 0035 0000051e
2022-04-02 16:55:01.358209 False [  156024.551909] 0003 0036 000003b7
2022-04-02 16:55:01.366372 False [  156024.560346] 0003 0036 000003b8
2022-04-02 16:55:01.374134 False [  156024.568580] 0003 0036 000003ba
2022-04-02 16:55:01.383524 False [  156024.577064] 0003 0035 0000051d
2022-04-02 16:55:01.383524 False [  156024.577064] 0003 0036 000003bd
2022-04-02 16:55:01.391332 False [  156024.585121] 0003 0036 000003bf
2022-04-02 16:55:01.399842 False [  156024.593564] 0003 0035 0000051c
2022-04-02 16:55:01.399842 False [  156024.593564] 0003 0036 000003c1
2022-04-02 16:55:01.406572 False [  156024.601752] 0003 0035 0000051b
2022-04-02 16:55:01.406572 False [  156024.601752] 0003 0036 000003c4
2022-04-02 16:55:01.415692 False [  156024.610146] 0003 0036 000003c6
2022-04-02 16:55:01.425125 False [  156024.618367] 0003 0035 0000051a
2022-04-02 16:55:01.425125 False [  156024.618367] 0003 0036 000003c8
2022-04-02 16:55:01.432649 False [  156024.626806] 0003 0035 00000519
2022-04-02 16:55:01.432649 False [  156024.626806] 0003 0036 000003cb
2022-04-02 16:55:01.441338 False [  156024.634985] 0003 0036 000003cd
2022-04-02 16:55:01.449319 False [  156024.643381] 0003 0035 00000518
2022-04-02 16:55:01.449319 False [  156024.643381] 0003 0036 000003cf
2022-04-02 16:55:01.457449 False [  156024.651558] 0003 0036 000003d1
2022-04-02 16:55:01.466322 False [  156024.660107] 0003 0035 00000517
2022-04-02 16:55:01.466322 False [  156024.660107] 0003 0036 000003d3
2022-04-02 16:55:01.473567 False [  156024.668300] 0003 0036 000003d5
2022-04-02 16:55:01.481820 False [  156024.676682] 0003 0036 000003d7
2022-04-02 16:55:01.490646 False [  156024.684812] 0003 0035 00000515
2022-04-02 16:55:01.490646 False [  156024.684812] 0003 0036 000003da
2022-04-02 16:55:01.498982 False [  156024.693282] 0003 0036 000003de
2022-04-02 16:55:01.507119 False [  156024.701490] 0003 0036 000003e0
2022-04-02 16:55:01.515419 False [  156024.709858] 0003 0035 00000514
2022-04-02 16:55:01.515419 False [  156024.709858] 0003 0036 000003e2
2022-04-02 16:55:01.524285 False [  156024.719093] 0003 0036 000003e4
2022-04-02 16:55:01.531341 False [  156024.726517] 0003 0036 000003e6
2022-04-02 16:55:01.540306 False [  156024.734697] 0003 0036 000003e7
2022-04-02 16:55:01.549200 False [  156024.743139] 0003 0036 000003e9
2022-04-02 16:55:01.557333 False [  156024.751318] 0003 0036 000003ea
2022-04-02 16:55:01.564257 False [  156024.759761] 0003 0036 000003eb
2022-04-02 16:55:01.590343 False [  156024.784614] 0003 0036 000003ec
2022-04-02 16:55:01.608166 False [  156024.801321] 0003 0036 000003ed
